Dif	Group
5456986	sim
34084403	sim
8737836	sim
10321791	sim
50437928	sim
13538663	sim
71018586	sim
20347555	sim
24529587	sim
18824310	sim
36650172	sim
29919496	sim
31117223	sim
28918499	sim
17748583	sim
35714512	sim
65656971	sim
8820003	sim
9004658	sim
15701057	sim
26366354	sim
17811952	sim
1094307	sim
37544706	sim
74509482	sim
24412056	sim
360036	sim
2102783	sim
105168447	sim
11070981	sim
19273830	sim
39451554	sim
25632983	sim
11973487	sim
23029659	sim
5735277	sim
64563376	sim
28006871	sim
3247610	sim
22573193	sim
21891910	sim
60670980	sim
29562893	sim
8241171	sim
4591189	sim
4956679	sim
37378426	sim
28888357	sim
19474046	sim
20707095	sim
8687563	sim
3936169	sim
53777551	sim
41823121	sim
31231901	sim
48332681	sim
2219664	sim
9964661	sim
2251766	sim
30831628	sim
10809394	sim
60910516	sim
7293755	sim
53441859	sim
9247892	sim
2813336	sim
22511786	sim
6448451	sim
62457744	sim
25494431	sim
20986049	sim
44996003	sim
15056061	sim
50560625	sim
11875377	sim
9968550	sim
9836198	sim
14603468	sim
6384911	sim
9323698	sim
8794712	sim
72581032	sim
3798231	sim
13082132	sim
42952630	sim
2847380	sim
4838598	sim
9905985	sim
124093596	sim
12655992	sim
1878451	sim
52305536	sim
44925709	sim
60278323	sim
39850420	sim
5652876	sim
33103943	sim
8772262	sim
113052490	sim
3528268	sim
3112598	sim
1817970	sim
27192150	sim
11379680	sim
24693875	sim
4637088	sim
13488382	sim
53919307	sim
40243811	sim
4729636	sim
8481736	sim
100891332	sim
24752073	sim
25543485	sim
19310580	sim
14325242	sim
17896599	sim
18582863	sim
42466153	sim
42711299	sim
12765665	sim
28697430	sim
33275726	sim
9405611	sim
28595042	sim
13600783	sim
18735010	sim
10720027	sim
15565109	sim
2261374	sim
4356517	sim
76352324	sim
33336465	sim
11729783	sim
4665042	sim
119181887	sim
5649876	sim
2666161	sim
3663399	sim
19161416	sim
8221603	sim
10012067	sim
394992	sim
113070433	sim
824785	sim
3146421	sim
10220440	sim
50598827	sim
57773565	sim
87123050	sim
4205350	sim
16076992	sim
5544192	sim
62624394	sim
17737744	sim
10348833	sim
6702521	sim
29356913	sim
36063995	sim
22725298	sim
59500753	sim
62753755	sim
42461974	sim
11879173	sim
4824358	sim
23830322	sim
28440878	sim
26981032	sim
54404752	sim
26808000	sim
20756891	sim
39461669	sim
6504274	sim
33835332	sim
24746293	sim
37884952	sim
19447526	sim
58236333	sim
18723189	sim
35960525	sim
16920429	sim
49957195	sim
39040326	sim
37728998	sim
28888008	sim
11925688	sim
26813457	sim
6084086	sim
8201855	sim
10349221	sim
3653617	sim
22899995	sim
26568552	sim
54933199	sim
8689790	sim
24389317	sim
25104343	sim
8407359	sim
31005192	sim
19597578	sim
79595181	sim
72277155	sim
28361700	sim
29121485	sim
2689752	sim
10301461	sim
23944445	sim
54736458	sim
36574537	sim
29842133	sim
82103423	sim
4518558	sim
6431415	sim
30406562	sim
464227	sim
13471582	sim
14051869	sim
39122913	sim
1143333	sim
33579603	sim
28488755	sim
25324190	sim
25702880	sim
78087319	sim
21765805	sim
19121947	sim
9831659	sim
26589804	sim
48848918	sim
89565523	sim
18987286	sim
27184405	sim
1414395	sim
31102577	sim
29564588	sim
616536	sim
28139067	sim
45726716	sim
4886972	sim
32242631	sim
16935584	sim
47297078	sim
5842614	sim
29110687	sim
44260187	sim
6508879	sim
18053478	sim
19584780	sim
16525836	sim
10507127	sim
8674901	sim
58649024	sim
35054522	sim
48207229	sim
1287438	sim
895338	sim
8262642	sim
93599781	sim
5026514	sim
12843081	sim
20857247	sim
34217853	sim
18585337	sim
14593399	sim
36153593	sim
47917551	sim
13191902	sim
67986972	sim
10639856	sim
36073279	sim
20153726	sim
62612716	sim
980119	sim
27975388	sim
41358176	sim
24062607	sim
36708076	sim
12109048	sim
4154475	sim
27468478	sim
75649774	sim
12291939	sim
20212956	sim
9854391	sim
3394579	sim
28509074	sim
2418964	sim
8909706	sim
2773107	sim
23682462	sim
41084264	sim
17085400	sim
369434	sim
45094769	sim
45745286	sim
15326153	sim
14139848	sim
68789577	sim
5659147	sim
23838723	sim
869152	sim
106696131	sim
61457	sim
30601703	sim
6721143	sim
50107257	sim
2269383	sim
5361718	sim
52032252	sim
6564818	sim
61099259	sim
24153144	sim
2872381	sim
59937777	sim
47653957	sim
15654322	sim
787812	sim
35474004	sim
8162239	sim
62405053	sim
37515987	sim
63260067	sim
36319965	sim
16414747	sim
23741898	sim
62798513	sim
20991821	sim
8708928	sim
17704809	sim
10940822	sim
5551917	sim
12899542	sim
45930615	sim
258650	sim
19428222	sim
53156596	sim
22700728	sim
1023683	sim
4290775	sim
12442224	sim
19747396	sim
15604553	sim
61684811	sim
30801178	sim
14100912	sim
70125845	sim
15241226	sim
6921055	sim
32810504	sim
28144888	sim
23457682	sim
4154750	sim
21871099	sim
7490392	sim
16547444	sim
75308457	sim
4308547	sim
31097686	sim
45217137	sim
2967166	sim
11758546	sim
17678202	sim
17025768	sim
77370957	sim
6392880	sim
4894321	sim
15836803	sim
55291364	sim
52993971	sim
56548787	sim
26242070	sim
10291085	sim
19322056	sim
43460417	sim
19977865	sim
28705625	sim
5278270	sim
29983259	sim
4086933	sim
4574397	sim
15458081	sim
46061534	sim
5036219	sim
24093197	sim
26364585	sim
29258131	sim
2212703	sim
10534690	sim
32758935	sim
33418615	sim
10013958	sim
10463675	sim
15104565	sim
28111813	sim
6519545	sim
518940	sim
24533562	sim
17459383	sim
47019692	sim
7846832	sim
11242603	sim
10354295	sim
78801840	sim
28995308	sim
3427960	sim
42956926	sim
7668998	sim
10895026	sim
275834	sim
3928939	sim
35488426	sim
16061998	sim
58429612	sim
24587787	sim
6552498	sim
9996333	sim
5749973	sim
29296937	sim
19335517	sim
51875803	sim
8645834	sim
47235223	sim
102945	sim
26422733	sim
25170851	sim
28389616	sim
52313082	sim
43510019	sim
16101693	sim
22598118	sim
4469551	sim
13718542	sim
23277557	sim
8247024	sim
41904561	sim
18307122	sim
60794539	sim
30997174	sim
53943841	sim
37203468	sim
8997916	sim
4981326	sim
678525	sim
43716603	sim
5853885	sim
3544016	sim
56516055	sim
35631998	sim
27889584	sim
20619609	sim
25386275	sim
13867372	sim
31179812	sim
11106824	sim
